Gestures,Hand,HandPalmPosition,HandPalmOrientation
4,Left,"(-1.0056, 312.055, -108.816)","(-0.0426515, 0.0758474, -0.996207)"
4,Left,"(-7.80406e-005, 311.643, -109.584)","(-0.0406315, 0.0694076, -0.996761)"
4,Left,"(1.02463, 311.232, -110.385)","(-0.0391562, 0.0693354, -0.996825)"
4,Left,"(2.08376, 310.771, -111.29)","(-0.0369089, 0.0724162, -0.996691)"
4,Left,"(3.15202, 310.343, -111.968)","(-0.0342697, 0.0775055, -0.996403)"
4,Left,"(4.27424, 309.958, -112.674)","(-0.033637, 0.0759045, -0.996548)"
4,Left,"(5.42767, 309.71, -113.363)","(-0.0334166, 0.0702047, -0.996973)"
4,Left,"(6.619, 309.372, -114.105)","(-0.0307822, 0.0663267, -0.997323)"
4,Left,"(7.87748, 309.17, -114.796)","(-0.0297065, 0.0659548, -0.99738)"
4,Left,"(9.187, 308.801, -115.52)","(-0.0256303, 0.069536, -0.99725)"
4,Left,"(10.5621, 308.527, -116.155)","(-0.0238289, 0.0736608, -0.996999)"
4,Left,"(12.0253, 308.069, -116.756)","(-0.0182267, 0.0679874, -0.99752)"
4,Left,"(13.4676, 307.768, -117.301)","(-0.0158762, 0.0705713, -0.99738)"
4,Left,"(15.0284, 307.586, -117.912)","(-0.00973459, 0.0702705, -0.99748)"
4,Left,"(16.5918, 307.34, -118.423)","(-0.00739858, 0.0683223, -0.997636)"
4,Left,"(18.2794, 307.291, -118.927)","(-0.00416502, 0.0775115, -0.996983)"
4,Left,"(19.935, 307.096, -119.422)","(-0.00305005, 0.0721442, -0.99739)"
4,Left,"(21.6732, 306.766, -119.837)","(-0.00303906, 0.0748098, -0.997193)"
4,Left,"(23.3754, 306.598, -120.332)","(-0.000850943, 0.0733541, -0.997306)"
4,Left,"(25.1701, 306.571, -120.698)","(0.00179155, 0.0696446, -0.99757)"
4,Left,"(27.0466, 306.336, -121.089)","(0.00880013, 0.066218, -0.997766)"
4,Left,"(28.8857, 306.415, -121.615)","(0.0116031, 0.0743951, -0.997161)"
4,Left,"(30.7864, 306.086, -121.855)","(0.0180727, 0.0708349, -0.997324)"
4,Left,"(32.6703, 306.093, -122.136)","(0.0201101, 0.0763229, -0.99688)"
4,Left,"(34.532, 306.023, -122.395)","(0.0218642, 0.0738493, -0.99703)"
4,Left,"(36.4484, 306.257, -122.735)","(0.0248237, 0.0802358, -0.996467)"
4,Left,"(38.2724, 306.259, -123.019)","(0.0270636, 0.0694862, -0.997216)"
4,Left,"(40.1097, 306.291, -123.304)","(0.0306996, 0.0660863, -0.997342)"
4,Left,"(41.9057, 306.014, -123.395)","(0.0330159, 0.060128, -0.997645)"
4,Left,"(43.7799, 305.818, -123.446)","(0.0355512, 0.0482608, -0.998202)"
4,Left,"(45.5358, 305.85, -123.657)","(0.0326727, 0.0435096, -0.998519)"
4,Left,"(47.3852, 305.877, -123.932)","(0.0351002, 0.0389117, -0.998626)"
4,Left,"(49.1114, 306.395, -124.515)","(0.0289096, 0.0439835, -0.998614)"
4,Left,"(50.9678, 306.22, -124.634)","(0.0357581, 0.0452295, -0.998336)"
4,Left,"(52.7281, 306.361, -125.096)","(0.0340501, 0.0391126, -0.998654)"
4,Left,"(54.5841, 306.085, -125.151)","(0.0415197, 0.0362225, -0.998481)"
4,Left,"(56.3349, 306.02, -125.363)","(0.0425005, 0.042242, -0.998203)"
4,Left,"(58.1487, 305.79, -125.403)","(0.0483291, 0.0421829, -0.99794)"
4,Left,"(59.932, 305.46, -125.411)","(0.0492668, 0.0383745, -0.998048)"
4,Left,"(63.5391, 304.836, -125.328)","(0.0597354, 0.030903, -0.997736)"
4,Left,"(67.2299, 304.186, -125.469)","(0.0730225, 0.0219422, -0.997089)"
4,Left,"(70.8653, 303.565, -125.333)","(0.0778309, 0.0138297, -0.996871)"
4,Left,"(72.4981, 303.417, -125.477)","(0.0789426, 0.00778603, -0.996849)"
4,Left,"(74.2806, 303.255, -125.545)","(0.0825846, 0.00548605, -0.996569)"
4,Left,"(76.0687, 303.268, -125.82)","(0.0838247, -0.00086826, -0.99648)"
5,Left,"(77.7952, 302.955, -125.723)","(0.0888318, -0.00327507, -0.996041)"
5,Left,"(79.566, 302.91, -125.804)","(0.0897423, -0.0104076, -0.995911)"
5,Left,"(81.2158, 302.497, -125.567)","(0.0943927, -0.014357, -0.995431)"
5,Left,"(82.7952, 302.212, -125.481)","(0.0945164, -0.0206969, -0.995308)"
5,Left,"(84.3563, 301.881, -125.333)","(0.0972368, -0.0196929, -0.995066)"
5,Left,"(85.8047, 301.361, -125.138)","(0.0989852, -0.0241709, -0.994795)"
5,Left,"(87.2934, 301.015, -125.029)","(0.101385, -0.0271784, -0.994476)"
5,Left,"(88.7248, 300.657, -124.832)","(0.101769, -0.0301656, -0.994351)"
5,Left,"(90.0694, 300.427, -124.691)","(0.100165, -0.033596, -0.994403)"
5,Left,"(91.4975, 300.222, -124.622)","(0.100649, -0.0360658, -0.994268)"
